timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1729908126.037011,1,10.0.0.18010.0.0.3597486,10.0.0.1,80,10.0.0.3,59748,6,-1,-1,19,664000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908126.037011,1,10.0.0.18010.0.0.3597626,10.0.0.1,80,10.0.0.3,59762,6,-1,-1,19,640000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908126.037011,1,10.0.0.1505110.0.0.34690117,10.0.0.1,5051,10.0.0.3,46901,17,-1,-1,19,697000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908126.037011,1,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,-1,-1,19,559000000,20,100,0,341315,15648349742,17963.947368421053,0.0006105813953488372,823597354.8421053,27.993470021466905,0
1729908126.037011,1,10.0.0.155074110.0.0.1505117,10.0.0.15,50741,10.0.0.1,5051,17,-1,-1,9,486000000,20,100,0,807,1220184,89.66666666666667,1.6604938271604939e-06,135576.0,0.0025106666666666667,0
1729908126.037011,1,10.0.0.25074110.0.0.350511,10.0.0.2,50741,10.0.0.3,5051,1,0,0,28,736000000,20,100,0,27,2646,0.9642857142857143,3.6684782608695654e-08,94.5,3.595108695652174e-06,0
1729908126.037011,1,10.0.0.35974810.0.0.1806,10.0.0.3,59748,10.0.0.1,80,6,0,0,19,669000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908126.037011,1,10.0.0.35976210.0.0.1806,10.0.0.3,59762,10.0.0.1,80,6,0,0,19,644000000,20,100,0,0,0,0.0,0.0,0.0,0.0,0
1729908126.037011,1,10.0.0.34690110.0.0.1505117,10.0.0.3,46901,10.0.0.1,5051,17,0,0,28,589000000,20,100,0,803,1214136,28.678571428571427,1.3633276740237692e-06,43362.0,0.002061351443123939,0
1729908126.037011,1,10.0.0.34690110.0.0.250511,10.0.0.3,46901,10.0.0.2,5051,1,0,8,28,743000000,20,100,0,27,2646,0.9642857142857143,3.633916554508748e-08,94.5,3.5612382234185733e-06,0
1729908126.041622,2,10.0.0.1505010.0.0.15336726,10.0.0.1,5050,10.0.0.15,33672,6,-1,-1,19,550000000,20,100,0,167325,11044174,8806.578947368422,0.00030422727272727274,581272.3157894737,0.020080316363636365,0
1729908126.041622,2,10.0.0.153367210.0.0.150506,10.0.0.15,33672,10.0.0.1,5050,6,-1,-1,19,562000000,20,100,0,341314,15648349676,17963.894736842107,0.0006073202846975089,823597351.3684211,27.844038569395018,0
1729908126.041622,2,10.0.0.155074110.0.0.1505117,10.0.0.15,50741,10.0.0.1,5051,17,-1,-1,9,482000000,20,100,0,807,1220184,89.66666666666667,1.674273858921162e-06,135576.0,0.0025315020746887965,0
